term,parent,synonyms
Fog,parent,mist; fogginess; haze; haziness
Haar,Fog,sea fret; cold sea fog
Ice fog,Fog,frozen fog
wind,,breeze
zephyr,wind,light wind; mild wind; western wind; West wind
Storm,wind,strong wind; high wind; severe wind; tempest
Thunderstorm,Storm,Electrical Storm
Derecho,Thunderstorm; squall,damaging thunderstorm; severe thunderstorm
Multicellular thunderstorm,Thunderstorm,Complex thunderstorm system
Pulse storm,Thunderstorm,Single-cell thunderstorm; short-lived thunderstorm
Squall line,Thunderstorm,"quasi-linear convective system; QLCS, line of thunderstorms; Line squall"
Storm cell,Thunderstorm,
Supercell,Thunderstorm,rotating thunderstorms
Lightning,Thunderstorm,
Thunder,Thunderstorm,
Wildfire,,wild fire; bushfire; bush fire; forest fire; wildland fire; rural fire; fire
Firestorm,Wildfire,
Fire whirl,Wildfire; tornado,firenado: fire tornado; fire devil
Flood,,flooding
Flash flood,Flood,Flash flooding; surge swell; sudden flooding; sudden flood
Coastal flooding,Flood,Coastal flood
riverine flooding,Flood,river flooding; riverine flood; river overflow
Tidal flood,coastal flooding,Tidal flooding; sunny day flood; sunny day flooding; nuisance flood; nuisance flooding; high tide flooding
Storm surge,coastal flooding,storm flood; tidal surge; storm tide
algal bloom,,algae bloom; harmful algal bloom; HAB; harmful algae bloom; excessive algae growth; algae bloom; algal bloom; red tide; algal outbreak
cyanobacteria bloom,algal bloom,cyanobacteria growth; cyanobacterial growth; Cyanobacteriota growth; Cyanophyta growth;  cyanobacterial bloom; Cyanobacteriota bloom; Cyanophyta bloom; Blue green algae bloom;  Blue-green algae bloom
dinoflagellate bloom,algal bloom,dinoflagellate growth
diatom bloom,algal bloom,diatom growth
tide,,
High tide,tide,flood tide
King tide,tide,high spring tide; perigean spring tide
wave,,
Rogue wave,wave,freak wave; monster wave; killer wave; extreme wave
Sneaker wave,wave,sleeper wave; king wave
Seiche,wave,standing wave
Swell,wave,ground swell; surface gravity swell
meteotsunami,tsunami,
tsunami,wave,
current,,stream
Rip current,current,rip tide
Undertow,current,
Whirlpool,current,maelstrom; water vortex
precipitation,,
snow,precipitation; cold condition,snowfall
snow storm,snow,blizzard; winter storm; snowstorm
winter weather,snow; ice,forsty conditions
